team1,team2,city,venue,season,toss_winner,toss_decision,winner,win_by_runs,win_by_wickets
Rajasthan Royals,Royal Challengers Bangalore,NA,Dubai International Cricket Stadium,2020/21,Rajasthan Royals,bat,Royal Challengers Bangalore,0,7
Chennai Super Kings,Rajasthan Royals,Chennai,MA Chidambaram Stadium,2019,Rajasthan Royals,field,Chennai Super Kings,8,0
Sunrisers Hyderabad,Kolkata Knight Riders,Hyderabad,"Rajiv Gandhi International Stadium, Uppal",2017,Kolkata Knight Riders,field,Sunrisers Hyderabad,48,0
Sunrisers Hyderabad,Royal Challengers Bangalore,Hyderabad,"Rajiv Gandhi International Stadium, Uppal",2015,Sunrisers Hyderabad,bat,Royal Challengers Bangalore,0,6
Royal Challengers Bangalore,Delhi Capitals,Ahmedabad,"Narendra Modi Stadium, Ahmedabad",2021,Delhi Capitals,field,Royal Challengers Bangalore,1,0
Mumbai Indians,Chennai Super Kings,Chennai,MA Chidambaram Stadium,2019,Chennai Super Kings,field,Mumbai Indians,46,0
Sunrisers Hyderabad,Chennai Super Kings,Delhi,"Arun Jaitley Stadium, Delhi",2021,Sunrisers Hyderabad,bat,Chennai Super Kings,0,7
Kolkata Knight Riders,Mumbai Indians,Mumbai,"Wankhede Stadium, Mumbai",2024,Mumbai Indians,field,Kolkata Knight Riders,24,0
Mumbai Indians,Kolkata Knight Riders,Mumbai,Wankhede Stadium,2018,Kolkata Knight Riders,field,Mumbai Indians,13,0
Chennai Super Kings,Royal Challengers Bangalore,Ranchi,JSCA International Stadium Complex,2015,Chennai Super Kings,field,Chennai Super Kings,0,3
Chennai Super Kings,Rajasthan Royals,Centurion,SuperSport Park,2009,Rajasthan Royals,field,Chennai Super Kings,38,0
Mumbai Indians,Gujarat Lions,Mumbai,Wankhede Stadium,2017,Mumbai Indians,field,Mumbai Indians,0,6
Royal Challengers Bangalore,Chennai Super Kings,Bangalore,M Chinnaswamy Stadium,2007/08,Chennai Super Kings,bat,Chennai Super Kings,13,0
Royal Challengers Bangalore,Kolkata Knight Riders,Chennai,"MA Chidambaram Stadium, Chepauk, Chennai",2021,Royal Challengers Bangalore,bat,Royal Challengers Bangalore,38,0
Punjab Kings,Rajasthan Royals,Mohali,"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur",2024,Rajasthan Royals,field,Rajasthan Royals,0,3
Mumbai Indians,Rajasthan Royals,Jaipur,"Sawai Mansingh Stadium, Jaipur",2025,Rajasthan Royals,field,Mumbai Indians,100,0
Delhi Daredevils,Rajasthan Royals,Delhi,Feroz Shah Kotla,2012,Delhi Daredevils,bat,Delhi Daredevils,1,0
Rajasthan Royals,Sunrisers Hyderabad,Hyderabad,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",2023,Sunrisers Hyderabad,field,Rajasthan Royals,72,0
Sunrisers Hyderabad,Delhi Daredevils,Hyderabad,"Rajiv Gandhi International Stadium, Uppal",2016,Delhi Daredevils,field,Delhi Daredevils,0,7
Delhi Daredevils,Sunrisers Hyderabad,Raipur,Shaheed Veer Narayan Singh International Stadium,2015,Sunrisers Hyderabad,bat,Sunrisers Hyderabad,6,0
Kolkata Knight Riders,Kings XI Punjab,Kolkata,Eden Gardens,2018,Kings XI Punjab,field,Kings XI Punjab,0,9
Mumbai Indians,Delhi Capitals,Delhi,Arun Jaitley Stadium,2019,Mumbai Indians,bat,Mumbai Indians,40,0
Kolkata Knight Riders,Delhi Capitals,Mumbai,"Wankhede Stadium, Mumbai",2022,Delhi Capitals,field,Delhi Capitals,0,4
Royal Challengers Bangalore,Delhi Capitals,Bengaluru,"M Chinnaswamy Stadium, Bengaluru",2023,Delhi Capitals,field,Royal Challengers Bangalore,23,0
Kolkata Knight Riders,Sunrisers Hyderabad,Kolkata,Eden Gardens,2016,Sunrisers Hyderabad,field,Kolkata Knight Riders,22,0
Chennai Super Kings,Deccan Chargers,Chennai,"MA Chidambaram Stadium, Chepauk",2011,Chennai Super Kings,bat,Chennai Super Kings,19,0
Kolkata Knight Riders,Royal Challengers Bangalore,Kolkata,Eden Gardens,2016,Royal Challengers Bangalore,field,Royal Challengers Bangalore,0,9
Chennai Super Kings,Sunrisers Hyderabad,Mumbai,"Dr DY Patil Sports Academy, Mumbai",2022,Sunrisers Hyderabad,field,Sunrisers Hyderabad,0,8
Chennai Super Kings,Royal Challengers Bangalore,Chennai,"MA Chidambaram Stadium, Chepauk",2011,Chennai Super Kings,bat,Chennai Super Kings,58,0
Kolkata Knight Riders,Chennai Super Kings,Kolkata,Eden Gardens,2015,Kolkata Knight Riders,field,Kolkata Knight Riders,0,7
Royal Challengers Bangalore,Kings XI Punjab,Bangalore,M Chinnaswamy Stadium,2009/10,Kings XI Punjab,bat,Royal Challengers Bangalore,0,8
Rajasthan Royals,Lucknow Super Giants,Mumbai,"Wankhede Stadium, Mumbai",2022,Lucknow Super Giants,field,Rajasthan Royals,3,0
Mumbai Indians,Sunrisers Hyderabad,NA,Dubai International Cricket Stadium,2014,Mumbai Indians,field,Sunrisers Hyderabad,15,0
Deccan Chargers,Kolkata Knight Riders,Cuttack,Barabati Stadium,2012,Kolkata Knight Riders,field,Kolkata Knight Riders,0,5
Delhi Daredevils,Royal Challengers Bangalore,Delhi,Feroz Shah Kotla,2015,Royal Challengers Bangalore,field,Royal Challengers Bangalore,0,10
Kings XI Punjab,Deccan Chargers,Chandigarh,"Punjab Cricket Association Stadium, Mohali",2012,Deccan Chargers,bat,Kings XI Punjab,0,4
Delhi Daredevils,Rajasthan Royals,Delhi,Arun Jaitley Stadium,2018,Rajasthan Royals,field,Delhi Daredevils,4,0
Kings XI Punjab,Mumbai Indians,Chandigarh,"Punjab Cricket Association Stadium, Mohali",2012,Kings XI Punjab,bat,Mumbai Indians,0,4
Punjab Kings,Royal Challengers Bangalore,Ahmedabad,"Narendra Modi Stadium, Ahmedabad",2021,Royal Challengers Bangalore,field,Punjab Kings,34,0
Mumbai Indians,Pune Warriors,Mumbai,Wankhede Stadium,2012,Mumbai Indians,field,Pune Warriors,28,0
Gujarat Titans,Rajasthan Royals,Ahmedabad,"Narendra Modi Stadium, Ahmedabad",2023,Rajasthan Royals,field,Rajasthan Royals,0,3
Chennai Super Kings,Gujarat Titans,Chennai,"MA Chidambaram Stadium, Chepauk, Chennai",2023,Gujarat Titans,field,Chennai Super Kings,15,0
Delhi Daredevils,Kings XI Punjab,Bloemfontein,OUTsurance Oval,2009,Kings XI Punjab,field,Kings XI Punjab,0,6
Chennai Super Kings,Kolkata Knight Riders,Ranchi,JSCA International Stadium Complex,2014,Chennai Super Kings,bat,Chennai Super Kings,34,0
Deccan Chargers,Mumbai Indians,Centurion,SuperSport Park,2009,Deccan Chargers,bat,Deccan Chargers,19,0
Mumbai Indians,Royal Challengers Bangalore,Mumbai,Wankhede Stadium,2012,Royal Challengers Bangalore,field,Royal Challengers Bangalore,0,9
Delhi Daredevils,Kings XI Punjab,Delhi,Feroz Shah Kotla,2007/08,Delhi Daredevils,bat,Kings XI Punjab,6,0
Kolkata Knight Riders,Kings XI Punjab,Indore,Holkar Cricket Stadium,2018,Kings XI Punjab,field,Kolkata Knight Riders,31,0
Deccan Chargers,Delhi Daredevils,Hyderabad,"Rajiv Gandhi International Stadium, Uppal",2011,Delhi Daredevils,field,Delhi Daredevils,0,4
Deccan Chargers,Kolkata Knight Riders,Mumbai,Dr DY Patil Sports Academy,2009/10,Deccan Chargers,field,Kolkata Knight Riders,11,0
Royal Challengers Bangalore,Sunrisers Hyderabad,Chennai,"MA Chidambaram Stadium, Chepauk, Chennai",2021,Sunrisers Hyderabad,field,Royal Challengers Bangalore,6,0
Rajasthan Royals,Sunrisers Hyderabad,Pune,"Maharashtra Cricket Association Stadium, Pune",2022,Sunrisers Hyderabad,field,Rajasthan Royals,61,0
Mumbai Indians,Rajasthan Royals,Abu Dhabi,Sheikh Zayed Stadium,2020/21,Mumbai Indians,bat,Mumbai Indians,57,0
Delhi Capitals,Sunrisers Hyderabad,Hyderabad,Rajiv Gandhi International Stadium,2019,Sunrisers Hyderabad,field,Delhi Capitals,39,0
Rajasthan Royals,Kolkata Knight Riders,Kolkata,Eden Gardens,2018,Kolkata Knight Riders,field,Kolkata Knight Riders,0,6
Lucknow Super Giants,Sunrisers Hyderabad,Hyderabad,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",2024,Lucknow Super Giants,bat,Sunrisers Hyderabad,0,10
Sunrisers Hyderabad,Royal Challengers Bengaluru,Bengaluru,"M Chinnaswamy Stadium, Bengaluru",2024,Royal Challengers Bengaluru,field,Sunrisers Hyderabad,25,0
Delhi Daredevils,Mumbai Indians,Delhi,Arun Jaitley Stadium,2018,Delhi Daredevils,bat,Delhi Daredevils,11,0
Chennai Super Kings,Rajasthan Royals,Mumbai,"Brabourne Stadium, Mumbai",2022,Chennai Super Kings,bat,Rajasthan Royals,0,5
Deccan Chargers,Kolkata Knight Riders,Johannesburg,New Wanderers Stadium,2009,Deccan Chargers,field,Deccan Chargers,0,6
Rising Pune Supergiants,Sunrisers Hyderabad,Visakhapatnam,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,2016,Sunrisers Hyderabad,bat,Sunrisers Hyderabad,4,0
Delhi Daredevils,Mumbai Indians,Delhi,Feroz Shah Kotla,2017,Delhi Daredevils,field,Mumbai Indians,146,0
Sunrisers Hyderabad,Kolkata Knight Riders,Chennai,"MA Chidambaram Stadium, Chepauk, Chennai",2024,Sunrisers Hyderabad,bat,Kolkata Knight Riders,0,8
Delhi Capitals,Rajasthan Royals,Delhi,"Arun Jaitley Stadium, Delhi",2024,Rajasthan Royals,field,Delhi Capitals,20,0
Royal Challengers Bangalore,Punjab Kings,Chandigarh,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",2023,Punjab Kings,field,Royal Challengers Bangalore,24,0
Chennai Super Kings,Punjab Kings,Dubai,Dubai International Cricket Stadium,2021,Punjab Kings,field,Punjab Kings,0,6
Kings XI Punjab,Kolkata Knight Riders,Chandigarh,"Punjab Cricket Association Stadium, Mohali",2009/10,Kolkata Knight Riders,bat,Kolkata Knight Riders,39,0
Kolkata Knight Riders,Punjab Kings,Dubai,Dubai International Cricket Stadium,2021,Punjab Kings,field,Punjab Kings,0,5
Deccan Chargers,Kings XI Punjab,Kimberley,De Beers Diamond Oval,2009,Kings XI Punjab,field,Kings XI Punjab,0,3
Deccan Chargers,Rajasthan Royals,Port Elizabeth,St George's Park,2009,Deccan Chargers,bat,Rajasthan Royals,0,3
Chennai Super Kings,Kings XI Punjab,Chennai,"MA Chidambaram Stadium, Chepauk",2012,Kings XI Punjab,bat,Kings XI Punjab,7,0
Kochi Tuskers Kerala,Kings XI Punjab,Indore,Holkar Cricket Stadium,2011,Kings XI Punjab,field,Kings XI Punjab,0,6
Rajasthan Royals,Delhi Capitals,Jaipur,Sawai Mansingh Stadium,2019,Delhi Capitals,field,Delhi Capitals,0,6
Royal Challengers Bangalore,Deccan Chargers,Johannesburg,New Wanderers Stadium,2009,Royal Challengers Bangalore,field,Deccan Chargers,6,0
Delhi Daredevils,Pune Warriors,Delhi,Feroz Shah Kotla,2012,Delhi Daredevils,field,Pune Warriors,20,0
Pune Warriors,Deccan Chargers,Pune,Subrata Roy Sahara Stadium,2012,Deccan Chargers,bat,Deccan Chargers,18,0
Delhi Daredevils,Kolkata Knight Riders,Johannesburg,New Wanderers Stadium,2009,Delhi Daredevils,field,Delhi Daredevils,0,7
Kings XI Punjab,Kolkata Knight Riders,Chandigarh,"Punjab Cricket Association IS Bindra Stadium, Mohali",2016,Kolkata Knight Riders,field,Kolkata Knight Riders,0,6
Deccan Chargers,Delhi Daredevils,Centurion,SuperSport Park,2009,Delhi Daredevils,field,Delhi Daredevils,0,6
Lucknow Super Giants,Rajasthan Royals,Lucknow,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",2024,Rajasthan Royals,field,Rajasthan Royals,0,7
Rajasthan Royals,Kolkata Knight Riders,Jaipur,Sawai Mansingh Stadium,2011,Kolkata Knight Riders,field,Kolkata Knight Riders,0,9
Royal Challengers Bangalore,Mumbai Indians,Bangalore,M Chinnaswamy Stadium,2013,Mumbai Indians,field,Royal Challengers Bangalore,2,0
Chennai Super Kings,Deccan Chargers,Chennai,"MA Chidambaram Stadium, Chepauk",2007/08,Deccan Chargers,field,Deccan Chargers,0,7
Chennai Super Kings,Kolkata Knight Riders,Chennai,"MA Chidambaram Stadium, Chepauk, Chennai",2023,Chennai Super Kings,bat,Kolkata Knight Riders,0,6
Gujarat Lions,Royal Challengers Bangalore,Rajkot,Saurashtra Cricket Association Stadium,2017,Gujarat Lions,field,Royal Challengers Bangalore,21,0
Pune Warriors,Royal Challengers Bangalore,Pune,Subrata Roy Sahara Stadium,2012,Pune Warriors,field,Royal Challengers Bangalore,35,0
Kolkata Knight Riders,Rajasthan Royals,Kolkata,"Eden Gardens, Kolkata",2023,Rajasthan Royals,field,Rajasthan Royals,0,9
Rajasthan Royals,Pune Warriors,Jaipur,Sawai Mansingh Stadium,2012,Rajasthan Royals,bat,Rajasthan Royals,45,0
Royal Challengers Bangalore,Rajasthan Royals,Bengaluru,"M Chinnaswamy Stadium, Bengaluru",2023,Rajasthan Royals,field,Royal Challengers Bangalore,7,0
Kolkata Knight Riders,Rajasthan Royals,Kolkata,"Eden Gardens, Kolkata",2024,Rajasthan Royals,field,Rajasthan Royals,0,2
Rajasthan Royals,Pune Warriors,Jaipur,Sawai Mansingh Stadium,2011,Rajasthan Royals,field,Rajasthan Royals,0,6
Pune Warriors,Kolkata Knight Riders,Pune,Subrata Roy Sahara Stadium,2012,Kolkata Knight Riders,bat,Kolkata Knight Riders,34,0
Kolkata Knight Riders,Rajasthan Royals,Kolkata,Eden Gardens,2009/10,Rajasthan Royals,bat,Kolkata Knight Riders,0,8
Kolkata Knight Riders,Delhi Daredevils,Kolkata,Eden Gardens,2016,Kolkata Knight Riders,field,Kolkata Knight Riders,0,9
Kings XI Punjab,Mumbai Indians,Chandigarh,"Punjab Cricket Association Stadium, Mohali",2015,Mumbai Indians,bat,Mumbai Indians,23,0
Mumbai Indians,Rising Pune Supergiant,Mumbai,Wankhede Stadium,2017,Mumbai Indians,field,Rising Pune Supergiant,20,0
Kings XI Punjab,Pune Warriors,Chandigarh,"Punjab Cricket Association Stadium, Mohali",2011,Kings XI Punjab,bat,Pune Warriors,0,5
Delhi Daredevils,Kolkata Knight Riders,Delhi,Feroz Shah Kotla,2009/10,Delhi Daredevils,bat,Delhi Daredevils,40,0
Chennai Super Kings,Delhi Daredevils,Chennai,"MA Chidambaram Stadium, Chepauk",2013,Chennai Super Kings,bat,Chennai Super Kings,33,0
Sunrisers Hyderabad,Mumbai Indians,Hyderabad,"Rajiv Gandhi International Stadium, Uppal",2015,Sunrisers Hyderabad,bat,Mumbai Indians,0,9
Royal Challengers Bangalore,Gujarat Lions,Bangalore,M Chinnaswamy Stadium,2017,Gujarat Lions,field,Gujarat Lions,0,7
Mumbai Indians,Delhi Daredevils,Mumbai,Brabourne Stadium,2009/10,Mumbai Indians,bat,Mumbai Indians,39,0
Mumbai Indians,Chennai Super Kings,Chennai,"MA Chidambaram Stadium, Chepauk, Chennai",2023,Chennai Super Kings,field,Chennai Super Kings,0,6
Mumbai Indians,Sunrisers Hyderabad,Mumbai,Wankhede Stadium,2015,Mumbai Indians,bat,Mumbai Indians,20,0
Sunrisers Hyderabad,Kolkata Knight Riders,Hyderabad,"Rajiv Gandhi International Stadium, Uppal",2013,Kolkata Knight Riders,bat,Sunrisers Hyderabad,0,5
Chennai Super Kings,Kolkata Knight Riders,Chennai,"MA Chidambaram Stadium, Chepauk",2013,Kolkata Knight Riders,field,Chennai Super Kings,14,0
Sunrisers Hyderabad,Chennai Super Kings,Chennai,"MA Chidambaram Stadium, Chepauk, Chennai",2023,Chennai Super Kings,field,Chennai Super Kings,0,7
Kolkata Knight Riders,Mumbai Indians,Port Elizabeth,St George's Park,2009,Mumbai Indians,bat,Mumbai Indians,92,0
Lucknow Super Giants,Rajasthan Royals,Jaipur,"Sawai Mansingh Stadium, Jaipur",2025,Lucknow Super Giants,bat,Lucknow Super Giants,2,0
Kolkata Knight Riders,Kings XI Punjab,Kolkata,Eden Gardens,2019,Kings XI Punjab,field,Kolkata Knight Riders,28,0
Chennai Super Kings,Punjab Kings,Dharamsala,"Himachal Pradesh Cricket Association Stadium, Dharamsala",2024,Punjab Kings,field,Chennai Super Kings,28,0
Royal Challengers Bangalore,Kolkata Knight Riders,Bengaluru,M.Chinnaswamy Stadium,2019,Kolkata Knight Riders,field,Kolkata Knight Riders,0,5
Rajasthan Royals,Royal Challengers Bangalore,Mumbai,"Wankhede Stadium, Mumbai",2022,Royal Challengers Bangalore,field,Royal Challengers Bangalore,0,4
Royal Challengers Bangalore,Kochi Tuskers Kerala,Bangalore,M Chinnaswamy Stadium,2011,Kochi Tuskers Kerala,bat,Royal Challengers Bangalore,0,9
Royal Challengers Bangalore,Chennai Super Kings,NA,Dubai International Cricket Stadium,2020/21,Royal Challengers Bangalore,bat,Chennai Super Kings,0,8
Royal Challengers Bangalore,Deccan Chargers,Centurion,SuperSport Park,2009,Royal Challengers Bangalore,bat,Royal Challengers Bangalore,12,0
Chennai Super Kings,Lucknow Super Giants,Chennai,"MA Chidambaram Stadium, Chepauk, Chennai",2024,Lucknow Super Giants,field,Lucknow Super Giants,0,6
Punjab Kings,Rajasthan Royals,Dharamsala,"Himachal Pradesh Cricket Association Stadium, Dharamsala",2023,Rajasthan Royals,field,Rajasthan Royals,0,4
Lucknow Super Giants,Royal Challengers Bengaluru,Lucknow,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",2025,Royal Challengers Bengaluru,field,Royal Challengers Bengaluru,0,6
Royal Challengers Bengaluru,Gujarat Titans,Bengaluru,"M Chinnaswamy Stadium, Bengaluru",2025,Gujarat Titans,field,Gujarat Titans,0,8
Deccan Chargers,Kings XI Punjab,Johannesburg,New Wanderers Stadium,2009,Deccan Chargers,field,Kings XI Punjab,1,0
Royal Challengers Bangalore,Delhi Capitals,Delhi,"Arun Jaitley Stadium, Delhi",2023,Royal Challengers Bangalore,bat,Delhi Capitals,0,7
Kings XI Punjab,Kolkata Knight Riders,Chandigarh,"Punjab Cricket Association Stadium, Mohali",2013,Kolkata Knight Riders,field,Kings XI Punjab,4,0
Kings XI Punjab,Mumbai Indians,Chandigarh,"Punjab Cricket Association Stadium, Mohali",2011,Mumbai Indians,field,Kings XI Punjab,76,0
Delhi Daredevils,Mumbai Indians,Delhi,Feroz Shah Kotla,2015,Mumbai Indians,field,Delhi Daredevils,37,0
Delhi Capitals,Kolkata Knight Riders,Mumbai,"Brabourne Stadium, Mumbai",2022,Kolkata Knight Riders,field,Delhi Capitals,44,0
Chennai Super Kings,Rajasthan Royals,Kimberley,De Beers Diamond Oval,2009,Rajasthan Royals,bat,Chennai Super Kings,0,7
Kolkata Knight Riders,Rajasthan Royals,Kolkata,Eden Gardens,2013,Rajasthan Royals,bat,Kolkata Knight Riders,0,8
Kings XI Punjab,Chennai Super Kings,NA,Dubai International Cricket Stadium,2020/21,Kings XI Punjab,bat,Chennai Super Kings,0,10
Kings XI Punjab,Rajasthan Royals,Chandigarh,"Punjab Cricket Association Stadium, Mohali",2012,Rajasthan Royals,bat,Rajasthan Royals,43,0
Kochi Tuskers Kerala,Delhi Daredevils,Kochi,Nehru Stadium,2011,Delhi Daredevils,bat,Delhi Daredevils,38,0
Gujarat Titans,Rajasthan Royals,Jaipur,"Sawai Mansingh Stadium, Jaipur",2025,Rajasthan Royals,field,Rajasthan Royals,0,8
Delhi Daredevils,Chennai Super Kings,Delhi,Feroz Shah Kotla,2013,Chennai Super Kings,bat,Chennai Super Kings,86,0
Kolkata Knight Riders,Rajasthan Royals,Kolkata,Eden Gardens,2007/08,Rajasthan Royals,field,Rajasthan Royals,0,6
Punjab Kings,Chennai Super Kings,Mumbai,"Wankhede Stadium, Mumbai",2021,Chennai Super Kings,field,Chennai Super Kings,0,6
Rajasthan Royals,Chennai Super Kings,NA,Sharjah Cricket Stadium,2020/21,Chennai Super Kings,field,Rajasthan Royals,16,0
Rajasthan Royals,Deccan Chargers,Jaipur,Sawai Mansingh Stadium,2007/08,Rajasthan Royals,field,Rajasthan Royals,0,8
Pune Warriors,Kolkata Knight Riders,Mumbai,Dr DY Patil Sports Academy,2011,Kolkata Knight Riders,field,Kolkata Knight Riders,0,7
Delhi Daredevils,Kings XI Punjab,Chandigarh,Punjab Cricket Association IS Bindra Stadium,2018,Kings XI Punjab,field,Kings XI Punjab,0,6
Pune Warriors,Rajasthan Royals,Pune,Subrata Roy Sahara Stadium,2012,Pune Warriors,bat,Rajasthan Royals,0,7
Kolkata Knight Riders,Chennai Super Kings,Kolkata,Eden Gardens,2009/10,Chennai Super Kings,bat,Chennai Super Kings,55,0
Gujarat Titans,Rajasthan Royals,Ahmedabad,"Narendra Modi Stadium, Ahmedabad",2025,Rajasthan Royals,field,Gujarat Titans,58,0
Chennai Super Kings,Delhi Daredevils,Chennai,"MA Chidambaram Stadium, Chepauk",2009/10,Chennai Super Kings,bat,Delhi Daredevils,0,6
Sunrisers Hyderabad,Kolkata Knight Riders,Hyderabad,"Rajiv Gandhi International Stadium, Uppal",2014,Sunrisers Hyderabad,bat,Kolkata Knight Riders,0,7
Delhi Daredevils,Deccan Chargers,Delhi,Feroz Shah Kotla,2011,Deccan Chargers,bat,Deccan Chargers,16,0
Kochi Tuskers Kerala,Royal Challengers Bangalore,Kochi,Nehru Stadium,2011,Kochi Tuskers Kerala,bat,Royal Challengers Bangalore,0,6
Kings XI Punjab,Kolkata Knight Riders,Port Elizabeth,St George's Park,2009,Kolkata Knight Riders,bat,Kings XI Punjab,0,6
Delhi Daredevils,Kings XI Punjab,Delhi,Feroz Shah Kotla,2014,Kings XI Punjab,field,Kings XI Punjab,0,4
Deccan Chargers,Mumbai Indians,Hyderabad,"Rajiv Gandhi International Stadium, Uppal",2007/08,Deccan Chargers,field,Mumbai Indians,25,0
Pune Warriors,Kings XI Punjab,Mumbai,Dr DY Patil Sports Academy,2011,Kings XI Punjab,bat,Pune Warriors,0,7
Kings XI Punjab,Rajasthan Royals,Jaipur,Sawai Mansingh Stadium,2019,Rajasthan Royals,field,Kings XI Punjab,14,0
Delhi Daredevils,Kochi Tuskers Kerala,Delhi,Feroz Shah Kotla,2011,Kochi Tuskers Kerala,field,Kochi Tuskers Kerala,0,7
Mumbai Indians,Chennai Super Kings,Hyderabad,Rajiv Gandhi International Stadium,2019,Mumbai Indians,bat,Mumbai Indians,1,0
Mumbai Indians,Royal Challengers Bangalore,Mumbai,Wankhede Stadium,2018,Royal Challengers Bangalore,field,Mumbai Indians,46,0
Kings XI Punjab,Rajasthan Royals,Chandigarh,"Punjab Cricket Association Stadium, Mohali",2013,Rajasthan Royals,field,Rajasthan Royals,0,8
Royal Challengers Bengaluru,Mumbai Indians,Mumbai,"Wankhede Stadium, Mumbai",2025,Mumbai Indians,field,Royal Challengers Bengaluru,12,0
Delhi Capitals,Chennai Super Kings,Chennai,"MA Chidambaram Stadium, Chepauk, Chennai",2025,Delhi Capitals,bat,Delhi Capitals,25,0
Rajasthan Royals,Lucknow Super Giants,Mumbai,"Brabourne Stadium, Mumbai",2022,Rajasthan Royals,bat,Rajasthan Royals,24,0
Rajasthan Royals,Sunrisers Hyderabad,NA,Dubai International Cricket Stadium,2020/21,Sunrisers Hyderabad,field,Sunrisers Hyderabad,0,8
Sunrisers Hyderabad,Kolkata Knight Riders,Kolkata,Eden Gardens,2018,Kolkata Knight Riders,field,Sunrisers Hyderabad,14,0
Royal Challengers Bangalore,Kolkata Knight Riders,Bangalore,M Chinnaswamy Stadium,2015,Royal Challengers Bangalore,field,Royal Challengers Bangalore,0,7
Royal Challengers Bangalore,Rajasthan Royals,Bangalore,M Chinnaswamy Stadium,2014,Royal Challengers Bangalore,bat,Rajasthan Royals,0,5
Deccan Chargers,Royal Challengers Bangalore,Hyderabad,"Rajiv Gandhi International Stadium, Uppal",2012,Royal Challengers Bangalore,field,Deccan Chargers,9,0
Delhi Daredevils,Sunrisers Hyderabad,Delhi,Feroz Shah Kotla,2013,Delhi Daredevils,bat,Sunrisers Hyderabad,0,3
Kochi Tuskers Kerala,Kolkata Knight Riders,Kochi,Nehru Stadium,2011,Kolkata Knight Riders,field,Kochi Tuskers Kerala,17,0
Royal Challengers Bengaluru,Rajasthan Royals,Bengaluru,"M Chinnaswamy Stadium, Bengaluru",2025,Rajasthan Royals,field,Royal Challengers Bengaluru,11,0
Mumbai Indians,Punjab Kings,Chennai,"MA Chidambaram Stadium, Chepauk, Chennai",2021,Punjab Kings,field,Punjab Kings,0,9
Royal Challengers Bangalore,Delhi Capitals,Bengaluru,M.Chinnaswamy Stadium,2019,Delhi Capitals,field,Delhi Capitals,0,4
Rising Pune Supergiant,Sunrisers Hyderabad,Pune,Maharashtra Cricket Association Stadium,2017,Rising Pune Supergiant,field,Rising Pune Supergiant,0,6
Delhi Capitals,Mumbai Indians,NA,Dubai International Cricket Stadium,2020/21,Mumbai Indians,field,Mumbai Indians,0,9
Royal Challengers Bangalore,Pune Warriors,Bangalore,M Chinnaswamy Stadium,2013,Pune Warriors,field,Royal Challengers Bangalore,130,0
Mumbai Indians,Sunrisers Hyderabad,NA,Sharjah Cricket Stadium,2020/21,Sunrisers Hyderabad,field,Sunrisers Hyderabad,0,10
Chennai Super Kings,Sunrisers Hyderabad,NA,Dubai International Cricket Stadium,2020/21,Chennai Super Kings,bat,Chennai Super Kings,20,0
Chennai Super Kings,Rajasthan Royals,Chennai,"MA Chidambaram Stadium, Chepauk",2015,Chennai Super Kings,bat,Chennai Super Kings,12,0
Kings XI Punjab,Sunrisers Hyderabad,Chandigarh,"Punjab Cricket Association IS Bindra Stadium, Mohali",2016,Kings XI Punjab,bat,Sunrisers Hyderabad,0,7
Royal Challengers Bangalore,Delhi Daredevils,Bangalore,M Chinnaswamy Stadium,2014,Delhi Daredevils,field,Royal Challengers Bangalore,16,0
Royal Challengers Bengaluru,Chennai Super Kings,Bengaluru,"M Chinnaswamy Stadium, Bengaluru",2024,Chennai Super Kings,field,Royal Challengers Bengaluru,27,0
Chennai Super Kings,Punjab Kings,Chennai,"MA Chidambaram Stadium, Chepauk, Chennai",2025,Punjab Kings,field,Punjab Kings,0,4
Sunrisers Hyderabad,Gujarat Lions,Hyderabad,"Rajiv Gandhi International Stadium, Uppal",2017,Sunrisers Hyderabad,field,Sunrisers Hyderabad,0,9
Rajasthan Royals,Kolkata Knight Riders,Guwahati,"Barsapara Cricket Stadium, Guwahati",2025,Kolkata Knight Riders,field,Kolkata Knight Riders,0,8
Kings XI Punjab,Delhi Daredevils,Chandigarh,"Punjab Cricket Association Stadium, Mohali",2014,Kings XI Punjab,field,Kings XI Punjab,0,7
Delhi Daredevils,Sunrisers Hyderabad,Hyderabad,Rajiv Gandhi International Stadium,2018,Delhi Daredevils,bat,Sunrisers Hyderabad,0,7
Kings XI Punjab,Royal Challengers Bangalore,Bengaluru,M.Chinnaswamy Stadium,2018,Royal Challengers Bangalore,field,Royal Challengers Bangalore,0,4
Delhi Capitals,Royal Challengers Bangalore,Dubai,Dubai International Cricket Stadium,2021,Royal Challengers Bangalore,field,Royal Challengers Bangalore,0,7
Royal Challengers Bangalore,Kolkata Knight Riders,Sharjah,Sharjah Cricket Stadium,2021,Royal Challengers Bangalore,bat,Kolkata Knight Riders,0,4
Delhi Capitals,Mumbai Indians,Abu Dhabi,Sheikh Zayed Stadium,2020/21,Delhi Capitals,bat,Mumbai Indians,0,5
